# Who each siglum is, from Campaner's own introduction (leaves 15-22), which
# this edition otherwise drops. The general abbreviation list on leaf 25 gives
# only `G. T.—Guillermo Terrassa.`; the eight leaves before it give the man, his
# trade, what the manuscript physically is, the years it covers and where it was
# in 1881. Without that a siglum is initials, and the chronicle's whole point is
# that you can ask which manuscript reports what.
#
# Entered by hand from the transcription of those leaves, and every row carries
# the leaf it comes from so that any claim here can be checked against the
# facsimile. Nothing is inferred: where Campaner does not say, the field is
# empty. `life` and `role` are his statements, not ours -- he took most of them
# from Bover's `Biblioteca de Escritores Baleares` and says so.
#
# Prose is Catalan because it is shown on the site; manuscript titles keep the
# spelling Campaner prints, in Spanish or in Mallorcan as he found them.
#
# siglum	name	life	role	span	work	note	leaf
G. T.	Guillermo Terrassa	1709–1778	prevere i paborde de la Seu de Mallorca	1229–1800	Anales de la isla y reyno de Mallorca, dispuestos por la chronología de los años	Campaner només va poder veure dos toms originals: el del segle XIII, de la seva pròpia família, i el del XIV, del marquès de Vivot. De la resta va comparar còpies i va adoptar la lliçó repetida en més exemplars i en els més antics.	22
B. J.	Bartolomé Jaume	1764–1844	paborde de la Seu i arxiver del Reial Patrimoni	s. XIV–s. XVI	Notas sacadas de los libros de Datas ó Dadas de la antigua Procuracion Real de Mallorca	No són relats sinó apunts de pagaments, i precisament per això diuen com era la societat mallorquina: què costava una cosa i qui la cobrava.	21
M. M.	Matías Mut	nascut a Llucmajor el 1639	espardenyer	1680–1715	dietari sense títol, en un tom en quart	«De muy mala letra y peor redaccion y ortografía», diu Campaner. Sabem quan va néixer perquè el 15 d'abril de 1686 va escriure-hi: «Dit dia jo vaig fer 47 anys».	18
G. V.	Guillermo Vidal		doctor en tots dos drets	1700–1783	Ocios del Dr. en ambos derechos D…, que puede servir de continuacion á la obra de D. Guillermo Terrassa (1785)	Es va escriure per continuar els Anales de Terrassa, i la còpia que se'n conserva va acabar substituint-ne el segle XVIII.	19
G. F.	Gabriel Ferrer	nascut el 24 d'octubre de 1693	de casa de Villalonga Mir	1746–1783	Noticiario de las cosas más notables sucedidas en Mallorca, escrit en la llengua del país	El pare Villafranca, que el va extractar, va suposar que Ferrer va morir el 13 d'abril de 1783, que és on s'atura.	20
J. F.	Juan Fé		custos de la Seu de Mallorca	des de 1598	un tom en foli de 308 fulls	No va ordenar les notícies per data sinó per matèries, cosa que el fa difícil de fer servir i és per això que Campaner el buida.	17
J. V.	Jaime Viquet	mort a Palma el 16 d'octubre de 1651	prevere, beneficiat primicer de la Seu	1636–1645	quadern de notícies	L'original que es conservava no tenia ni principi ni final: li havien arrencat els fulls.	17
Jn. Br.	Joaquin M. Bover		erudit i col·leccionista	1774–1800	Miscelánea Histórica Mayoricense, divuit toms	Va recollir notícies i documents des de nen. Campaner en diu «mi infatigable y malogrado amigo»: va morir abans que el Cronicón sortís.	18
M. S.	Mateo Salcet		notari	1372–1408	apuntacions als seus protocols	El testimoni més antic del llibre. Escrivia les notícies als primers i darrers fulls dels seus protocols; falten els de 1400, 1401 i 1402, i el de 1389 no en duu cap.	15
Cl. Fl.	Cristóbal Fiol	mort a Palma el 4 de setembre de 1702	rector de Campos i després vicari general	1643–1702	Llibre de Memorias de cosas notables segons el discurs dels anys	Els darrers anys hi ha molt poques notícies «á consecuencia de la ancianidad y graves ocupaciones del autor»: havia hagut de deixar el càrrec perquè s'havia quedat cec.	18
J. P.	Jaime Pujol	nascut a Ciutadella el 5 d'octubre de 1589	notari, síndic i arxiver perpetu de la Ciutat i Regne	1612–1645	Memorias diarias	Menorquí, format al col·legi dels jesuïtes de Mallorca. Va acompanyar diversos bisbes en les visites a Menorca.	17
C. M.	Cayetano de Mallorca	mort el 8 de gener de 1767	caputxí	1750–1766	Diario de varios acontecimientos que sucedieron en Mallorca	Les seves Noticias Misceláneas són el volum on van anar a parar còpies de mitja dotzena dels altres dietaris: sense elles, bona part d'aquest llibre no existiria.	20
J. M.	Juan Antonio Mateu		cirurgià de l'hospital; jurat pel braç de menestrals el 1714	1643–1696	Llibre de algunas cosas de la ciutat y Reyne de Mallorca	L'original era a casa d'un advocat el 1807 i Campaner ja no en va saber res més.	18
M. C.	Maestro de Ceremonias de la Ciudad			1700–1788	notícies copiades a les Misceláneas	No se'n sap el nom, ni de qui era el llibre, ni quantes pàgines tenia.	19
A. G.	Antonio Gelabert		prevere	1695, 1711–1783	dietari		19
Co. Fr.	Cayetano Ferrer	natural de Selva	prevere i vicari de Santa Eulàlia de Palma	1747–1771	Memoria y relació de lo que succeí en esta isla sobre la esterilidat de blat, llegums et alias	Un diari de la fam: comença l'octubre de 1747 comptant què falta.	20
A. T.	Agustin de Torrella		testimoni ocular	1706, 1715	dues relacions: la rendició de Mallorca a l'arxiduc Carles III i la submissió a Felip V	Va veure els dos canvis de bàndol i en va escriure un relat de cadascun.	19
B. S.	Buenaventura Serra y Ferragut	nascut a Palma el 3 d'abril de 1728	advocat, catedràtic de dret canònic i cronista general del regne des de 1759	1760–1763	notícies diàries dins les Recreaciones Eruditas	Erudit de correspondència internacional que gairebé no va publicar res: Campaner el defineix com «el que pasa su vida trabajando, sin dar á la prensa ninguna obra de alguna importancia».	20
F. S.	Francisco Sanceloni		canonge de la Seu	1605–1627	notícies en un quadern d'ingressos i despeses	Al quadern hi falten fulls del començament.	17
N. C.	N. Cañellas		prevere de l'Oratori de Sant Felip Neri	1725–1746	Memorias diarias	Ni tan sols se'n sap el nom de pila.	19
J. A.	Jerónimo Agustin Alemany y Moragues	Palma, 15 de febrer de 1693 – Madrid, 23 d'agost de 1753	advocat i cronista del regne	1655–1711	Memorias Diarias	Gairebé tot el que hi anota va passar abans que ell nasqués: ho va recollir d'altres dietaris.	18
L. C.	Lorenzo Coch		prevere i vicari de Mancor	1710–1735	Adnotaciones mensuales	Parla sobretot de pluges, neus, preus dels fruits i altres coses del temps.	19
Jn. Bs.	Juan Binimelis	Pollença, 1538 – Palma, 12 de gener de 1616	metge, matemàtic, sacerdot i cronista general del regne	s. XVI	Historia general del Reino de Mallorca	Campaner en copia sencers els fets de la Germania de 1521–1523 i les incursions de turcs i berbers, perquè Binimelis els va viure o els va sentir explicar als qui els van viure.	21
J. Q.	José M. Quadrado		historiador, contemporani de Campaner		documents que va facilitar	Li va passar l'extracte del procés de 1345 contra el governador Arnaldo de Eril.	17
L. V.	Luis de Villafranca	nascut a Vilafranca el 4 de novembre de 1770	caputxí, bibliotecari del seu convent	fins a 1810	continuació de les Misceláneas del P. Cayetano de Mallorca	No surt a la llista d'abreviatures del llibre, però hi és per tot arreu: és qui va copiar i continuar mitja dotzena dels dietaris que el Cronicón buida.	20
N. F.	Nicolas Ferrer de Sant Jordi		ciutadà militar, de Sineu	1730–1758	Libre de cosas memorables que han succeit en Mallorca	Un tom en quart de 90 fulls que s'acaba dient: «fonch finit este libre en la vila de Sineu, en ma casa dita Son Ferrer». Tampoc no surt a la llista d'abreviatures.	19
