# Ground truth for the stratified sample drawn by scripts/sample_loci.py.
# One row per sampled token position: the id printed on the review sheet, and the
# reading settled by looking at the ~630 dpi Internet Archive facsimile.
#
# Conventions, applied uniformly:
#  * The truth is the whole whitespace-delimited printed word the sampled box sits
#    in. An engine that split or merged that word is therefore wrong, because it is.
#  * 1881 orthography is kept verbatim (á, ó, dia, Setiembre, mallorquin), and so
#    are the author's own spellings. This is a transcription, not a correction.
#  * Words broken at the line end keep their hyphen (fó-, conti-, volumi-); the
#    stitching happens later in the pipeline, identically for every engine.
#  * Small capitals are recorded as ordinary capitalisation (Junio, Noviembre,
#    Columna): they are a typographic device, not a different word. Engines that
#    emit JUNIO are counted wrong here, and the report separates that class out.
#  * An empty truth means the sampled box holds no text at all -- a stray mark, an
#    ornamental rule, a speck of dirt the geometry engine took for a word.
id	truth
1	INTRODUCCION.
2	Materiales
3	formacion.—III.
4	uniforme
5	pocos
6	extraídos
7	á
8	estudios.
9	(i)
10	Romana,
11	compradores
12	en
13	de
14	de
15	clase
16	que
17	referimos.
18
19	VIII
20	un
21	que
22	en
23	Villafranca
24	del
25	redaccion
26	fó-
27	en
28	Yo
29	las
30	Reina
31	in-
32	(3)
33	biografía
34	Colegio
35	volumi-
36	y
37	Real
38	5
39	1621
40	su
41	en
42	Archivero
43	cinco
44	muerte
45	Catedral
46	Francisco
47	conti-
48	por
49	primero
50	Villafranca
51	tomo
52	ó
53	que
54	P.
55	siguientes
56	de
57	á
58	se
59	de
60	la
61	á
62	el
63	los
64	este
65	su
66	el
67	investigador
68	historia
69	antigüedades;
70	dos
71	de
72	Ayuntamiento
73	notabilísima
74	la
75	pocos
76	los
77	en
78	muy
79	nuestra
80	que
81	intentó
82	(El
83	puchino,
84	dos
85	3
86	de
87	el
88	galeras
89	Rey
90	gusto
91	bondad
92	cautivos
93	Trajeron
94	en
95	é
96	15
97	por
98	la
99	religion
100	1230,
101	en
102	efecto
103	una
104	con
105	la
106	Eulalia,
107	tiempo.»
108	los
109	franqueza
110	disputa
111	referida
112	Halí,
113	Barcelona,
114	lo
115	á
116	1315
117	sobre
118	eclesiástico
119	maestro
120	Juan,
121	que
122	dicha
123	Real,
124	su
125	de
126	nombre,
127	cion
128	y
129	á
130	ne-
131	nor
132	obis-
133	propia,
134	Mallorca,
135	convento
136	de
137	F.
138	que
139	nista
140	ocioso
141	coro
142	año
143	de
144	Setiembre
145	D.
146	de
147	se
148	quisiese
149	fundó
150	tre-
151	fué
152	nueve
153	Gaçó,
154	Bernardino
155	sasnovas.»
156	sus
157	síndicos:
158	Ber-
159	Pedro
160	30
161	Ber-
162	Ra-
163	síndicos:
164	Carbonell,
165	Nicolás
166	rer,
167	síndicos:
168	Gamundí.»
169	vili.»
170	D.
171	despues,
172	y
173	mallorquina,
174	en
175	de
176	cla-
177	de
178	azotes
179	güenza.
180	Junio.—Por
181	fuera
182	Julio
183	había
184	31.—Pagó
185	en
186	II.—B.
187	extraccion
188	fue-
189	2.—Real
190	Príncipe
191	tas
192	Monarca
193	su
194	y
195	6.—Real
196	á
197	dia
198	Viana,
199	memoria,
200	1787.—L.
201	batallon
